ydstogo,yardline_100,score_differential,game_seconds_remaining,distance_group,field_zone,score_state,time_state,decision,epa,wpa
8.0,18.0,7.0,1849.0,LONG,RED_ZONE,LEADING,EARLY,FIELD_GOAL,0.3052711357629936,-0.00973258912563324
17.0,40.0,-10.0,1803.0,VERY_LONG,MIDFIELD,TRAILING,EARLY,FIELD_GOAL,1.3296183352399087,0.09005831182003021
9.0,71.0,7.0,1748.0,LONG,OWN_TERRITORY,LEADING,MID,PUNT,0.8621521862223744,0.026529043912887573
1.0,65.0,1.0,1246.0,SHORT,OWN_TERRITORY,LEADING,MID,GO,2.386793346144259,0.06400346755981445
7.0,58.0,-9.0,204.0,LONG,OWN_TERRITORY,TRAILING,LATE,GO,5.602978860028088,0.11172246932983398
9.0,9.0,-9.0,157.0,LONG,RED_ZONE,TRAILING,LATE,FIELD_GOAL,0.06128455449070014,0.0074278488755226135
8.0,51.0,-7.0,3341.0,LONG,OWN_TERRITORY,TRAILING,EARLY,PUNT,0.4276405465789139,-0.00015822052955627441
13.0,72.0,0.0,2661.0,VERY_LONG,OWN_TERRITORY,TIED,EARLY,PUNT,0.41539511224254966,0.05110827088356018
17.0,22.0,0.0,2351.0,VERY_LONG,OPPONENT_21_35,TIED,EARLY,FIELD_GOAL,-3.5743207218017674,-0.07688984274864197
6.0,66.0,0.0,2269.0,LONG,OWN_TERRITORY,TIED,EARLY,PUNT,-0.6327497116290033,0.009121626615524292
2.0,17.0,0.0,1920.0,SHORT,RED_ZONE,TIED,EARLY,FIELD_GOAL,0.3225540846750574,0.0014601349830627441
31.0,85.0,-3.0,1896.0,VERY_LONG,OWN_TERRITORY,TRAILING,EARLY,PUNT,0.2295116843888536,0.05544963479042053
1.0,65.0,3.0,1847.0,SHORT,OWN_TERRITORY,LEADING,EARLY,PUNT,-0.2876114250975661,-0.049961745738983154
11.0,61.0,-4.0,1430.0,VERY_LONG,OWN_TERRITORY,TRAILING,MID,PUNT,0.13092641485854983,0.039118409156799316
20.0,60.0,4.0,1293.0,VERY_LONG,OWN_TERRITORY,LEADING,MID,PUNT,-0.391609160695225,0.03555813431739807
7.0,72.0,-4.0,1179.0,LONG,OWN_TERRITORY,TRAILING,MID,PUNT,0.8667964283376932,0.06692400574684143
7.0,32.0,4.0,956.0,LONG,OPPONENT_21_35,LEADING,MID,FIELD_GOAL,1.6464843941054828,0.0951249897480011
5.0,50.0,-7.0,820.0,MEDIUM,MIDFIELD,TRAILING,MID,PUNT,-0.09595519583672285,0.032718732953071594
1.0,38.0,7.0,565.0,SHORT,MIDFIELD,LEADING,MID,GO,2.457269429345615,0.03149604797363281
2.0,22.0,7.0,410.0,SHORT,OPPONENT_21_35,LEADING,MID,FIELD_GOAL,0.6577874410748823,0.011471092700958252
10.0,56.0,-10.0,293.0,LONG,OWN_TERRITORY,TRAILING,LATE,PUNT,-0.9911743734264746,-0.007747676223516464
10.0,39.0,10.0,115.0,LONG,MIDFIELD,LEADING,LATE,PUNT,-1.064052376372274,-0.01716005802154541
2.0,53.0,-10.0,69.0,SHORT,OWN_TERRITORY,TRAILING,LATE,GO,1.6954698252957314,0.010083658620715141
5.0,6.0,0.0,3341.0,MEDIUM,RED_ZONE,TIED,EARLY,FIELD_GOAL,0.07890973392903033,-0.01290285587310791
14.0,54.0,-17.0,2213.0,VERY_LONG,OWN_TERRITORY,TRAILING,EARLY,PUNT,0.1342777127865702,0.0054432302713394165
2.0,42.0,17.0,1962.0,SHORT,MIDFIELD,LEADING,EARLY,GO,1.8326515830121934,0.025991618633270264
5.0,16.0,17.0,1803.0,MEDIUM,RED_ZONE,LEADING,EARLY,FIELD_GOAL,0.2302091501318544,-0.0007564611732959747
9.0,10.0,20.0,1353.0,LONG,RED_ZONE,LEADING,MID,FIELD_GOAL,0.14617417172203329,0.013882630504667759
6.0,31.0,-23.0,1175.0,LONG,OPPONENT_21_35,TRAILING,MID,GO,-3.5376110271317884,-0.00396157568320632
2.0,46.0,23.0,1036.0,SHORT,MIDFIELD,LEADING,MID,GO,2.904833528562449,0.000977635383605957
1.0,17.0,23.0,731.0,SHORT,RED_ZONE,LEADING,MID,GO,1.3362105130800046,0.00035369396209716797
